City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,keflavik,64.0049,-22.5624,-2.47,66,8,13.2,IS,1736138304
1,ushuaia,-54.8,-68.3,6.82,96,65,1.43,AR,1736138292
2,brokopondo,4.75,-55.1667,23.94,81,99,3.22,SR,1736138306
3,adamstown,-25.066,-130.1015,24.17,69,85,3.43,PN,1736138307
4,porto novo,6.4965,2.6036,25.41,90,69,2.13,BJ,1736138309
5,mugia,43.1041,-9.2179,11.06,64,100,8.91,ES,1736138310
6,afaahiti,-17.75,-149.2833,25.62,71,15,2.18,PF,1736138311
7,papatowai,-46.5619,169.4708,16.1,53,95,4.74,NZ,1736138312
8,dakhla,23.6848,-15.958,16.46,51,1,5.72,EH,1736138313
9,kapa'a,22.0752,-159.319,22.49,84,2,4.75,US,1736138314
10,mejit,10.2753,170.8646,27.0,69,100,8.74,MH,1736138315
11,quellon,-43.1167,-73.6167,9.96,92,93,1.97,CL,1736138317
12,pariaman,-0.619,100.12,29.47,64,72,3.66,ID,1736138318
13,wailua homesteads,22.0669,-159.378,21.74,84,3,4.16,US,1736138319
14,sinabang,2.4803,96.3801,22.84,96,100,1.37,ID,1736138320
15,sola,-13.8833,167.55,28.25,76,77,3.97,VU,1736138322
16,hamilton,39.1834,-84.5333,-4.09,90,100,3.58,US,1736138323
17,grytviken,-54.2811,-36.5092,7.52,73,51,4.97,GS,1736138325
18,changling,44.2653,124.0005,-11.54,71,37,1.92,CN,1736138326
19,guarapari,-20.6667,-40.4975,22.24,91,24,1.87,BR,1736138261
20,nuuk,64.1835,-51.7216,-4.51,73,99,3.22,GL,1736138328
21,avarua,-21.2078,-159.775,26.86,80,56,4.3,CK,1736138329
22,orkney,-26.9802,26.6727,18.77,93,100,2.52,ZA,1736138049
23,xichang,27.8964,102.2634,14.78,61,76,1.25,CN,1736138331
24,st. john's,47.5649,-52.7093,3.32,94,100,2.24,CA,1736138292
25,edinburgh of the seven seas,-37.0676,-12.3116,15.93,79,92,7.28,SH,1736138334
26,mount gambier,-37.8333,140.7667,17.94,42,29,6.41,AU,1736138335
27,charallave,10.2425,-66.8572,20.68,97,100,0.87,VE,1736138221
28,utrik,11.2278,169.8474,27.0,71,99,8.97,MH,1736138337
29,lagos,6.5833,3.75,25.26,89,91,1.38,NG,1736138277
30,port-aux-francais,-49.35,70.2167,7.69,90,89,11.91,TF,1736138339
31,angarsk,52.5367,103.8864,-5.77,92,99,1.38,RU,1736138340
32,ust-nera,64.5667,143.2,-29.14,97,100,1.04,RU,1736138342
33,weno,7.4515,151.8468,28.57,80,77,9.3,FM,1736138343
34,klyuchi,52.2667,79.1667,-12.26,94,41,2.85,RU,1736138344
35,atafu village,-8.5421,-172.5159,27.46,77,100,6.12,TK,1736138345
36,college,64.8569,-147.8028,-17.73,64,100,1.57,US,1736138346
37,qurayyat,31.3318,37.3428,10.73,75,82,3.54,SA,1736138347
38,la sarre,48.8002,-79.1996,-17.86,99,80,1.8,CA,1736138333
39,san antonio de pale,-1.4014,5.6325,26.2,83,100,5.74,GQ,1736138350
40,beyneu,45.3167,55.2,-0.33,76,93,3.22,KZ,1736138351
41,daru,-9.0763,143.2092,30.89,63,93,4.24,PG,1736138352
42,zhangye,38.9342,100.4517,-3.08,40,22,0.98,CN,1736138353
43,thief river falls,48.1191,-96.1812,-25.5,97,19,1.58,US,1736138354
44,kremenets,50.0969,25.7246,-2.03,97,100,5.57,UA,1736138356
45,eldama ravine,0.0516,35.7308,15.01,53,15,0.88,KE,1736138357
46,saipan,15.1355,145.701,29.8,75,19,4.92,MP,1736138358
47,alofi,-19.0595,-169.9187,26.4,82,100,6.79,NU,1736138359
48,puerto natales,-51.7236,-72.4875,9.95,95,99,1.97,CL,1736138360
49,puerto ayora,-0.7393,-90.3518,23.08,96,85,1.86,EC,1736138362
50,khalkhal,37.6189,48.5258,-0.69,97,100,2.96,IR,1736138363
51,lompoc,34.6391,-120.4579,14.4,65,27,1.79,US,1736138094
52,arraial do cabo,-22.9661,-42.0278,23.54,88,4,1.58,BR,1736138365
53,rio grande,-32.035,-52.0986,18.13,80,5,3.53,BR,1736138366
54,natal,-5.795,-35.2094,26.44,79,54,3.68,BR,1736138110
55,tiksi,71.6872,128.8694,-31.74,94,43,3.12,RU,1736138368
56,west island,-12.1568,96.8225,28.04,75,72,6.4,CC,1736138370
57,labytnangi,66.6572,66.4183,-16.12,97,100,3.17,RU,1736138372
58,georgetown,5.4112,100.3354,29.94,51,56,3.13,MY,1736138375
59,sitka,57.0531,-135.33,4.17,95,100,3.59,US,1736138376
60,mana,5.6592,-53.7767,24.68,87,81,2.41,GF,1736138378
61,luza,60.6308,47.2512,-12.52,96,100,2.52,RU,1736138379
62,port elizabeth,-33.918,25.5701,20.17,83,97,2.24,ZA,1736138381
63,neya,58.2972,43.8681,-7.95,93,100,4.57,RU,1736138382
64,chonchi,-42.6128,-73.8092,10.62,88,95,1.03,CL,1736138383
65,whitehorse,60.7161,-135.0538,-15.55,77,94,12.96,CA,1736138386
66,zlocieniec,53.5329,16.0113,-0.62,94,100,4.76,PL,1736138387
67,olonkinbyen,70.9221,-8.7187,-2.72,81,96,8.16,SJ,1736138388
68,iqaluit,63.7506,-68.5145,-10.17,92,98,1.34,CA,1736138390
69,flying fish cove,-10.4217,105.6791,28.09,71,48,2.66,CX,1736138393
70,soligalich,59.0778,42.2864,-11.94,91,57,4.11,RU,1736138394
71,frontera,26.9333,-101.45,15.5,25,3,1.34,MX,1736138395
72,port saint john's,-31.6229,29.5448,22.01,93,100,2.83,ZA,1736138198
73,buturlinovka,50.8239,40.6092,-6.13,84,64,3.78,RU,1736138397
74,behshahr,36.6923,53.5526,8.72,38,28,1.91,IR,1736138398
75,udachny,66.4167,112.4,-36.13,99,38,1.78,RU,1736138400
76,waitangi,-43.9535,-176.5597,16.14,88,99,6.48,NZ,1736138401
77,ustyuzhna,58.8394,36.4321,-12.9,96,34,2.57,RU,1736138402
78,petropavlovsk-kamchatsky,53.0452,158.6483,-5.8,77,82,3.8,RU,1736138403
79,nuku'alofa,-21.1333,-175.2,27.2,76,100,4.42,TO,1736138404
80,hawaiian paradise park,19.5933,-154.9731,22.72,90,35,0.45,US,1736138405
81,phillip island,-38.4835,145.231,16.08,70,100,8.73,AU,1736138407
82,sabang,5.8933,95.3214,27.22,82,69,11.12,ID,1736138408
83,westport,41.1415,-73.3579,-1.66,69,43,1.34,US,1736138277
84,portland,45.5234,-122.6762,11.21,96,100,1.79,US,1736137821
85,colonia,50.9333,6.95,12.2,87,100,7.78,DE,1736138411
86,new norfolk,-42.7826,147.0587,18.73,30,100,1.85,AU,1736138412
87,vorgashor,67.5833,63.95,-16.69,98,99,2.41,RU,1736138415
88,qaqortoq,60.7167,-46.0333,-9.74,75,83,2.49,GL,1736138416
89,cole harbour,44.6724,-63.4751,-7.26,80,100,1.34,CA,1736138417
90,ilulissat,69.2167,-51.1,-13.11,84,100,1.97,GL,1736138418
